Model-Split,Ablation,Type,Time,Count
GAT-Randomsplit,base+structural+typology,FN,45,2
GAT-Randomsplit,base+structural+typology,FN,46,11
GAT-Randomsplit,base+structural+typology,FN,47,6
GAT-Randomsplit,base+structural+typology,FN,48,103
GAT-Randomsplit,base+structural+typology,FP,1,118
GAT-Randomsplit,base+structural+typology,FP,2,2
GAT-Randomsplit,base+structural+typology,FP,3,7
GAT-Randomsplit,base+structural+typology,FP,4,159
GAT-Randomsplit,base+structural+typology,FP,5,9
GAT-Randomsplit,base+structural+typology,FP,6,151
GAT-Randomsplit,base+structural+typology,FP,7,6
GAT-Randomsplit,base+structural+typology,FP,8,25
GAT-Randomsplit,base+structural+typology,FP,9,13
GAT-Randomsplit,base+structural+typology,FP,10,21
GAT-Randomsplit,base+structural+typology,FP,11,50
GAT-Randomsplit,base+structural+typology,FP,12,2
GAT-Randomsplit,base+structural+typology,FP,13,8
GAT-Randomsplit,base+structural+typology,FP,14,79
GAT-Randomsplit,base+structural+typology,FP,15,1
GAT-Randomsplit,base+structural+typology,FP,16,1
GAT-Randomsplit,base+structural+typology,FP,17,2
GAT-Randomsplit,base+structural+typology,FP,18,2
GAT-Randomsplit,base+structural+typology,FP,19,1
GAT-Randomsplit,base+structural+typology,FP,20,13
GAT-Randomsplit,base+structural+typology,FP,21,3
GAT-Randomsplit,base+structural+typology,FP,22,4
GAT-Randomsplit,base+structural+typology,FP,23,2
GAT-Randomsplit,base+structural+typology,FP,24,6
GAT-Randomsplit,base+structural+typology,FP,25,3
GAT-Randomsplit,base+structural+typology,FP,26,4
GAT-Randomsplit,base+structural+typology,FP,27,2
GAT-Randomsplit,base+structural+typology,FP,29,15
GAT-Randomsplit,base+structural+typology,FP,30,1
GAT-Randomsplit,base+structural+typology,FP,31,5
GAT-Randomsplit,base+structural+typology,FP,32,2
GAT-Randomsplit,base+structural+typology,FP,33,5
GAT-Randomsplit,base+structural+typology,FP,34,13
GAT-Randomsplit,base+structural+typology,FP,35,10
GAT-Randomsplit,base+structural+typology,FP,36,42
GAT-Randomsplit,base+structural+typology,FP,37,12
GAT-Randomsplit,base+structural+typology,FP,38,27
GAT-Randomsplit,base+structural+typology,FP,39,19
GAT-Randomsplit,base+structural+typology,FP,40,40
GAT-Randomsplit,base+structural+typology,FP,41,711
GAT-Randomsplit,base+structural+typology,FP,42,30
GAT-Randomsplit,base+structural+typology,FP,43,18
GAT-Randomsplit,base+structural+typology,FP,44,6
GAT-Randomsplit,base+structural+typology,FP,45,8
GAT-Randomsplit,base+structural+typology,FP,46,45
GAT-Randomsplit,base+structural+typology,FP,47,15
GAT-Randomsplit,base+structural+typology,FP,48,311
GAT-Randomsplit,base+structural+typology,FP,49,1
GAT-Randomsplit,base+typology,FN,1,45
GAT-Randomsplit,base+typology,FN,2,1
GAT-Randomsplit,base+typology,FN,3,1
GAT-Randomsplit,base+typology,FN,4,59
GAT-Randomsplit,base+typology,FN,5,3
GAT-Randomsplit,base+typology,FN,6,50
GAT-Randomsplit,base+typology,FN,8,7
GAT-Randomsplit,base+typology,FN,9,2
GAT-Randomsplit,base+typology,FN,10,4
GAT-Randomsplit,base+typology,FN,11,20
GAT-Randomsplit,base+typology,FN,13,2
GAT-Randomsplit,base+typology,FN,14,27
GAT-Randomsplit,base+typology,FN,17,1
GAT-Randomsplit,base+typology,FN,19,2
GAT-Randomsplit,base+typology,FN,20,1
GAT-Randomsplit,base+typology,FN,21,4
GAT-Randomsplit,base+typology,FN,25,4
GAT-Randomsplit,base+typology,FN,26,1
GAT-Randomsplit,base+typology,FN,29,4
GAT-Randomsplit,base+typology,FN,31,4
GAT-Randomsplit,base+typology,FN,32,1
GAT-Randomsplit,base+typology,FN,33,3
GAT-Randomsplit,base+typology,FN,34,3
GAT-Randomsplit,base+typology,FN,35,3
GAT-Randomsplit,base+typology,FN,36,12
GAT-Randomsplit,base+typology,FN,37,1
GAT-Randomsplit,base+typology,FN,38,10
GAT-Randomsplit,base+typology,FN,39,5
GAT-Randomsplit,base+typology,FN,40,10
GAT-Randomsplit,base+typology,FN,41,226
GAT-Randomsplit,base+typology,FN,42,9
GAT-Randomsplit,base+typology,FN,43,4
GAT-Randomsplit,base+typology,FN,44,2
GAT-Randomsplit,base+typology,FN,45,2
GAT-Randomsplit,base+typology,FN,46,11
GAT-Randomsplit,base+typology,FN,47,2
GAT-Randomsplit,base+typology,FN,48,106
GAT-Randomsplit,base+typology,FP,1,131
GAT-Randomsplit,base+typology,FP,2,3
GAT-Randomsplit,base+typology,FP,3,6
GAT-Randomsplit,base+typology,FP,4,162
GAT-Randomsplit,base+typology,FP,5,12
GAT-Randomsplit,base+typology,FP,6,165
GAT-Randomsplit,base+typology,FP,7,6
GAT-Randomsplit,base+typology,FP,8,28
GAT-Randomsplit,base+typology,FP,9,14
GAT-Randomsplit,base+typology,FP,10,23
GAT-Randomsplit,base+typology,FP,11,53
GAT-Randomsplit,base+typology,FP,12,3
GAT-Randomsplit,base+typology,FP,13,9
GAT-Randomsplit,base+typology,FP,14,86
GAT-Randomsplit,base+typology,FP,15,1
GAT-Randomsplit,base+typology,FP,16,1
GAT-Randomsplit,base+typology,FP,17,2
GAT-Randomsplit,base+typology,FP,18,2
GAT-Randomsplit,base+typology,FP,19,1
GAT-Randomsplit,base+typology,FP,20,11
GAT-Randomsplit,base+typology,FP,21,4
GAT-Randomsplit,base+typology,FP,22,4
GAT-Randomsplit,base+typology,FP,23,2
GAT-Randomsplit,base+typology,FP,24,7
GAT-Randomsplit,base+typology,FP,25,2
GAT-Randomsplit,base+typology,FP,26,6
GAT-Randomsplit,base+typology,FP,27,3
GAT-Randomsplit,base+typology,FP,29,14
GAT-Randomsplit,base+typology,FP,30,1
GAT-Randomsplit,base+typology,FP,31,5
GAT-Randomsplit,base+typology,FP,32,3
GAT-Randomsplit,base+typology,FP,33,7
GAT-Randomsplit,base+typology,FP,34,11
GAT-Randomsplit,base+typology,FP,35,9
GAT-Randomsplit,base+typology,FP,36,46
GAT-Randomsplit,base+typology,FP,37,15
GAT-Randomsplit,base+typology,FP,38,27
GAT-Randomsplit,base+typology,FP,39,20
GAT-Randomsplit,base+typology,FP,40,43
GAT-Randomsplit,base+typology,FP,41,752
GAT-Randomsplit,base+typology,FP,42,31
GAT-Randomsplit,base+typology,FP,43,19
GAT-Randomsplit,base+typology,FP,44,6
GAT-Randomsplit,base+typology,FP,45,7
GAT-Randomsplit,base+typology,FP,46,44
GAT-Randomsplit,base+typology,FP,47,16
GAT-Randomsplit,base+typology,FP,48,320
GAT-Randomsplit,base+typology,FP,49,1
GAT-Randomsplit,no_features,FN,1,30
GAT-Randomsplit,no_features,FN,2,2
GAT-Randomsplit,no_features,FN,3,1
GAT-Randomsplit,no_features,FN,4,56
